Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
03-JAN-2022,GREENPOWER,Orient Green Power Company Ltd,AXIS BANK LIMITED,SELL,6613637,20.8,-
03-JAN-2022,GREENPOWER,Orient Green Power Company Ltd,RAMLAL KANWARLAL JAIN,BUY,4500000,20.8,-
03-JAN-2022,NCLRESE,NCL Research & Financial Services Ltd,PRITESH PRAVIN VORA,BUY,4000000,1.7,-
03-JAN-2022,CRSL,Cressanda Railway Solutions Ltd,ZUBER TRADING LLP,SELL,3770000,6.79,-
03-JAN-2022,CRSL,Cressanda Railway Solutions Ltd,ALPHA LEON ENTERPRISES LLP,SELL,3500006,6.79,-
03-JAN-2022,GENPHARMA,Genpharmasec Ltd,TOPGAIN FINANCE PRIVATE LIMITED,BUY,2976159,6.09,-
03-JAN-2022,WSI,W. S. Industries (India) Ltd-$,EARC SAF 1 TRUST,SELL,2434358,10.38,-
03-JAN-2022,WSI,W. S. Industries (India) Ltd-$,EARC TRUST SC 168,SELL,1901268,10.38,-
03-JAN-2022,ROLLT,Rollatainers Ltd,MANI ENTERPRISE,SELL,1900000,4.29,-
03-JAN-2022,ANUPAM,Anupam Finserv Ltd,JAYESH MALSI  RITA,SELL,1800000,4.35,-
03-JAN-2022,WSI,W. S. Industries (India) Ltd-$,SATHIYAMOORTHY ANANDAVADIVEL,BUY,1706940,10.38,-
03-JAN-2022,WSI,W. S. Industries (India) Ltd-$,CHINNIAMPALAYAM KULANDAISAMY VENKATACHALAM,BUY,1706940,10.38,-
03-JAN-2022,WSI,W. S. Industries (India) Ltd-$,SEYYADURAI NAGARAJAN,BUY,1706940,10.38,-
03-JAN-2022,EVEXIA,Evexia Lifecare Ltd,OLGA TRADING PRIVATE LIMITED,BUY,1700651,10.6,-
03-JAN-2022,EVEXIA,Evexia Lifecare Ltd,OLGA TRADING PRIVATE LIMITED,SELL,1640651,10.75,-
03-JAN-2022,FIVEXTRADE,Five X Tradecom Ltd,FIRSTOBJECT TECHNOLOGIES LIMITED,SELL,1616057,0.84,-
03-JAN-2022,GENPHARMA,Genpharmasec Ltd,TOPGAIN FINANCE PRIVATE LIMITED,SELL,1614256,6.05,-
03-JAN-2022,ANUPAM,Anupam Finserv Ltd,PANKAJ HIRJI DEDHIA,SELL,1500000,4.35,-
03-JAN-2022,VIVIDHA,Visagar Polytex Ltd,ALPHA LEON ENTERPRISES LLP,BUY,1500000,2.1,-
03-JAN-2022,PAZEL,Pazel International Ltd,ALPHA LEON ENTERPRISES LLP,BUY,1500000,0.39,-
