Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
10-SEP-2024,PIDILITIND,Pidilite Industries Ltd,KALPANA APURVA PAREKH,SELL,300000,3303.0,-
10-SEP-2024,PIDILITIND,Pidilite Industries Ltd,ISHIJAS CHEMICALS PVT LTD,BUY,300000,3303.0,-
10-SEP-2024,PIDILITIND,Pidilite Industries Ltd,NEERAV APURVA PAREKH,SELL,100000,3303.0,-
10-SEP-2024,PIDILITIND,Pidilite Industries Ltd,ISHIJAS CHEMICALS PVT LTD,BUY,100000,3303.0,-
13-SEP-2024,ASIANPAINT,Asian Paints Ltd,UPNISHAD TRUSTEE ADVISORY SERVICES PRIVATE LIMITED,BUY,120000,3321.0,-
13-SEP-2024,ASIANPAINT,Asian Paints Ltd,HIREN HOLDINGS PRIVATE LIMITED,SELL,120000,3321.0,-
24-SEP-2024,PIDILITIND,Pidilite Industries Ltd,PIDICHEM PVT LTD,BUY,50000,3285.0,-
24-SEP-2024,PIDILITIND,Pidilite Industries Ltd,MRUDULA SUSHILKUMAR PAREKH,SELL,50000,3285.0,-
25-SEP-2024,HDFCBANK,HDFC Bank Ltd,UBS PRINCIPAL CAPITAL ASIA LIMITED,BUY,3072730,1768.05,-
25-SEP-2024,HDFCBANK,HDFC Bank Ltd,BNP PARIBAS FINANCIAL MARKETS,SELL,3072730,1768.05,-
25-SEP-2024,PIDILITIND,Pidilite Industries Ltd,THE VACUUM FORMING COMPANY PRIVATE LIMITED,BUY,900000,3262.0,-
25-SEP-2024,PIDILITIND,Pidilite Industries Ltd,AJAY BALVANTRAY PAREKH,SELL,900000,3262.0,-
25-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,GOLDMAN SACHS (SINGAPORE) PTE.- ODI,BUY,552189,824.0,-
25-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,DURO INDIA OPPORTUNITIES FUND PTE LTD FDI,SELL,552189,824.0,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,TPG ASIA VII SF PTE LTD,SELL,20058282,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,NORWEST VENTURE PARTNERS X MAURITIUS,SELL,8046668,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,NOMURA INDIA INVESTMENT FUND MOTHER FUND,BUY,7305804,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,EASTSPRING INVESTMENTS INDIA EQUITY OPEN LIMITED,BUY,2487728,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,NOMURA FUNDS IRELAND PLC NOMURA FUNDS IRELAND INDIA EQUITY FUND,BUY,2087372,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,MAX NEW YORK LIFE INSURANCE CO LTD,BUY,1752141,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,MAX LIFE INSURANCE COMPANY LIMITED,BUY,1683257,800.5,-
26-SEP-2024,FIVESTAR,Five-Star Business Finance Ltd,PRUDENTIAL HONG KONG LIMITED,BUY,1199571,800.5,-
