Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
08-SEP-2023,RTNPOWER,RattanIndia Power Ltd,ABARC   AST   002   TRUST,SELL,40195825,7.31,-
08-SEP-2023,7NR,7NR Retail Ltd,AGRAWAL  NIKUNJ,SELL,7650000,0.56,-
08-SEP-2023,SHALPRO,Shalimar Productions Ltd,TOPGAIN FINANCE PRIVATE LIMITED,BUY,7038590,0.49,-
08-SEP-2023,GGENG,G G Engineering Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,7027781,1.24,-
08-SEP-2023,GGENG,G G Engineering Ltd,DIPTI BHAVINKUMAR SHAH,SELL,5290000,1.21,-
08-SEP-2023,KCLINFRA,KCL Infra Projects Ltd,JIGNESH AMRUTLAL THOBHANI,SELL,5000000,1.82,-
08-SEP-2023,JYOTISTRUC,Jyoti Structures Ltd,FOLLIS ADVISORY LLP,SELL,3723568,10.97,-
08-SEP-2023,VRLLOG,VRL Logistics Ltd,ANAND VIJAY SANKESHWAR,SELL,3500000,681.08,-
08-SEP-2023,MURAE,Murae Organisor Ltd,AMRAPALI CAPITAL AND FINANCE SERVICES LIMITED,SELL,1750000,1.01,-
08-SEP-2023,FILATFASH,Filatex Fashions Ltd,DINESH SURANA,SELL,1375000,13.03,-
08-SEP-2023,VRLLOG,VRL Logistics Ltd,SBI MUTUAL FUND,BUY,1354201,681.0,-
08-SEP-2023,IFINSEC,India Finsec Ltd,GANGA DEVI BANSAL,BUY,1207000,28.44,-
08-SEP-2023,IFINSEC,India Finsec Ltd,TIA ENTERPRISES PRIVATE LIMITED,SELL,1207000,28.44,-
08-SEP-2023,GGENG,G G Engineering Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,1000000,1.2,-
08-SEP-2023,PRESSURS,Pressure Sensitive Systems India Ltd,KRUPESH GHANSHYAMBHAI THAKKAR,SELL,951809,6.7,-
08-SEP-2023,KRETTOSYS,Kretto Syscon Ltd,AMEENMOHAMMAD,BUY,909964,0.66,-
08-SEP-2023,KCLINFRA,KCL Infra Projects Ltd,SUSHILA DEVI BAPNA,BUY,875000,1.82,-
08-SEP-2023,KCLINFRA,KCL Infra Projects Ltd,FREQUENT STOCK AND SHARES PRIVATE LIMITED,BUY,845000,1.82,-
08-SEP-2023,MSRINDIA,MSR India Ltd,GOPI KISHAN MALANI,SELL,580000,10.38,-
08-SEP-2023,KRETTOSYS,Kretto Syscon Ltd,AMEENMOHAMMAD,SELL,579312,0.65,-
08-SEP-2023,VRLLOG,VRL Logistics Ltd,SBI MUTUAL FUND,BUY,574804,681.0,-
08-SEP-2023,ONTIC,Ontic Finserve Ltd,MALTI SALVI,SELL,511099,0.7,-
08-SEP-2023,COLORCHIPS,Colorchips New Media Ltd,ANKITA VISHAL SHAH,SELL,467372,3.93,-
08-SEP-2023,SGFRL,Suyog Gurbaxani Funicular Ropeways Ltd,RAJSHIKHAR EDIFICE LLP,BUY,402000,57.5,-
08-SEP-2023,SHALPRO,Shalimar Productions Ltd,TOPGAIN FINANCE PRIVATE LIMITED,SELL,267618,0.5,-
08-SEP-2023,SGFRL,Suyog Gurbaxani Funicular Ropeways Ltd,SANJAY POPATLAL JAIN,SELL,225000,57.9,-
08-SEP-2023,JANUSCORP,Janus Corporation Ltd,PALLAVI ROY,SELL,217000,4.27,-
08-SEP-2023,SGFRL,Suyog Gurbaxani Funicular Ropeways Ltd,KAMLABAI POPATLAL JAIN,SELL,135000,57.5,-
08-SEP-2023,HAZOOR,Hazoor Multi Projects Ltd-$,NAVRATRI SHARE TRADING PRIVATE LIMITED,SELL,123018,138.39,-
08-SEP-2023,FRASER,Fraser and Company Ltd,LOREM INVESTMENT,BUY,114842,7.24,-
08-SEP-2023,GGL,Gautam Gems Ltd,MEENA  WASAN,BUY,86591,11.79,-
08-SEP-2023,GUJCOTEX,Gujarat Cotex Ltd,VIVEK KANDA,BUY,73500,3.08,-
08-SEP-2023,FRASER,Fraser and Company Ltd,ANKUR SEVANTILAL SHAH,SELL,71181,7.36,-
08-SEP-2023,NATHUEC,Natura Hue Chem Ltd,SHREE GAJRAJ FINLEASE PRIVATE LIMITED,SELL,70820,3.71,-
08-SEP-2023,JANUSCORP,Janus Corporation Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,70000,4.27,-
08-SEP-2023,NATHUEC,Natura Hue Chem Ltd,HAL CLYDE DENISON LIMITED,BUY,63600,3.71,-
08-SEP-2023,COMRADE,Comrade Appliances Ltd,ARUN KUMAR GANERIWALA,BUY,60000,164.33,-
08-SEP-2023,GGL,Gautam Gems Ltd,MEENA  WASAN,SELL,56513,12.55,-
08-SEP-2023,ITCONS,ITCONS E-Solutions Ltd,RIMPY  MITTAL,SELL,56000,52.67,-
08-SEP-2023,ITCONS,ITCONS E-Solutions Ltd,RIMPY  MITTAL,BUY,56000,52.19,-
08-SEP-2023,DML,Diggi Multitrade Ltd,HARNISH B SHAH  HUF,SELL,50000,22.5,-
08-SEP-2023,AGRIBIO,Agribio Spirits Ltd,B B COMMERCIAL LTD,SELL,43096,61.6,-
08-SEP-2023,COMRADE,Comrade Appliances Ltd,SHERWOOD SECURITIES PVT LTD,SELL,38000,163.0,-
08-SEP-2023,AGRIBIO,Agribio Spirits Ltd,B B COMMERCIAL LTD,BUY,33800,62.14,-
08-SEP-2023,ITCONS,ITCONS E-Solutions Ltd,PANKAJ  MITTAL,SELL,32000,53.06,-
08-SEP-2023,AHASOLAR,Ahasolar Technologies Ltd,SUNFLOWER BROKING PRIVATE LIMITED,SELL,32000,340.26,-
08-SEP-2023,MAAGHADV,Maagh Advertising and Marketing Services Ltd,NNM SECURITIES PVT LTD,SELL,26000,28.07,-
08-SEP-2023,MAAGHADV,Maagh Advertising and Marketing Services Ltd,SYNEMATIC MEDIA AND CONSULTING PRIVATE LIMITED,BUY,26000,28.16,-
08-SEP-2023,RACONTEUR,Raconteur Global Resources Ltd,GAURAV KUMAR,SELL,25600,17.02,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,SUMICKSHA,SELL,24000,304.56,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,SUMICKSHA,BUY,22400,300.56,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,SELL,22400,308.28,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,LATIN MANHARLAL SECURITIES PVT LTD,BUY,20800,299.75,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .,BUY,16000,308.7,-
08-SEP-2023,RACONTEUR,Raconteur Global Resources Ltd,AMIT BAJAJ HUF,BUY,16000,17.1,-
08-SEP-2023,ITCONS,ITCONS E-Solutions Ltd,PANKAJ  MITTAL,BUY,14000,52.8,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,SHETH BROTHER,SELL,11200,296.56,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,SHETH BROTHER,BUY,9600,293.04,-
08-SEP-2023,ACCELERATE,Acceleratebs India Ltd,LATIN MANHARLAL SECURITIES PVT LTD,SELL,9600,294.43,-
08-SEP-2023,SBLI,SBL Infratech Ltd,LILABEN JASVANTSINH KHATEDIYA,BUY,9600,77.06,-
08-SEP-2023,SBLI,SBL Infratech Ltd,NARMADABEN  VAGHELA,SELL,6000,76.49,-
08-SEP-2023,AHASOLAR,Ahasolar Technologies Ltd,SUNFLOWER BROKING PRIVATE LIMITED,BUY,4000,340.47,-
08-SEP-2023,SIMPLXPAP,Simplex Papers Ltd,MILLENNIUM STOCK BROKING PVT LTD,SELL,217,1049.6,-
11-SEP-2023,VISESHINFO,Visesh Infotecnics Ltd,SAHASTRAA ADVISORS PRIVATE LIMITED,SELL,31004419,0.59,-
11-SEP-2023,VISAGAR,Visagar Financial Services Ltd,SAUMIL ARVINDBHAI BHAVNAGARI,SELL,20000000,0.88,-
11-SEP-2023,VISESHINFO,Visesh Infotecnics Ltd,SAHASTRAA ADVISORS PRIVATE LIMITED,BUY,15478859,0.6,-
11-SEP-2023,TRIVENI,Triveni Engineering & Industries Ltd,STFL TRADING AND FINANCE PRIVATE LIMITED,BUY,8888889,348.9,-
11-SEP-2023,TRIVENI,Triveni Engineering & Industries Ltd,RATI  SAWHNEY,SELL,8888889,348.9,-
11-SEP-2023,VIKASLIFE,Vikas Lifecare Ltd,HI GROWTH CORPORATE SERVICES PVT LTD,SELL,7245000,6.16,-
11-SEP-2023,VISAGAR,Visagar Financial Services Ltd,AJAY SALVI,SELL,6747295,0.91,-
11-SEP-2023,VISAGAR,Visagar Financial Services Ltd,AJAY SALVI,BUY,6747295,0.88,-
11-SEP-2023,DHANI,Dhani Services Ltd,MAYBANK KIM ENG SECURITIES PTE LTD,BUY,3100000,44.99,-
11-SEP-2023,VIKASLIFE,Vikas Lifecare Ltd,HI GROWTH CORPORATE SERVICES PVT LTD,BUY,3078000,5.93,-
11-SEP-2023,7NR,7NR Retail Ltd,AGRAWAL  NIKUNJ,SELL,3064601,0.56,-
11-SEP-2023,JOHNPHARMA,Johnson Pharmacare Ltd,MOHIT  GOYAL,SELL,3000000,0.51,-
11-SEP-2023,CRSL,Cressanda Railway Solutions Ltd,PARAG COMMOSALES,BUY,2131174,26.08,-
11-SEP-2023,CRSL,Cressanda Railway Solutions Ltd,PARAG COMMOSALES,SELL,1798363,26.16,-
11-SEP-2023,DHANBANK,Dhanlaxmi Bank Ltd,GOVINDAN BHIMA BHATTAR,SELL,1620446,24.78,-
11-SEP-2023,KNRCON,KNR Constructions Ltd,HDFC MUTUAL FUND,BUY,1550000,273.52,-
11-SEP-2023,MSRINDIA,MSR India Ltd,GOPI KISHAN MALANI,SELL,1023120,10.75,-
11-SEP-2023,COLORCHIPS,Colorchips New Media Ltd,ANKITA VISHAL SHAH,SELL,513672,3.74,-
11-SEP-2023,SUDARSHAN,Sudarshan Pharma Industries Ltd,SHERWOOD SECURITIES PVT LTD,SELL,235200,85.6,-
11-SEP-2023,SUDARSHAN,Sudarshan Pharma Industries Ltd,CORE INC,BUY,232000,85.6,-
11-SEP-2023,ESCORP,Escorp Asset Management Ltd,TIA ENTERPRISES PRIVATE LIMITED,SELL,222775,63.75,-
11-SEP-2023,QUESTCAP,Quest Capital Markets Ltd,DOVETAIL INDIA FUND,BUY,216866,270.0,-
11-SEP-2023,QUESTCAP,Quest Capital Markets Ltd,MUNISH FINANCIAL,SELL,216235,270.01,-
11-SEP-2023,THINKINK,Thinkink Picturez Ltd,RAJIV KUMAR,SELL,153000,91.08,-
11-SEP-2023,THINKINK,Thinkink Picturez Ltd,RAJIV KUMAR,BUY,153000,91.18,-
11-SEP-2023,THINKINK,Thinkink Picturez Ltd,RASHI AGRAWAL,BUY,148608,91.14,-
11-SEP-2023,AGIIL,AGI Infra Ltd,SAJANKUMAR RAMESHWARLAL BAJAJ,SELL,145000,628.0,-
11-SEP-2023,SUDARSHAN,Sudarshan Pharma Industries Ltd,SHERWOOD SECURITIES PVT LTD,BUY,132800,87.31,-
11-SEP-2023,SUDARSHAN,Sudarshan Pharma Industries Ltd,MAVEN INDIA FUND,SELL,124800,87.38,-
11-SEP-2023,SWADEIN,Swadeshi Industries & Leasing Ltd,AMIT POONAMCHAND JAIN,BUY,120000,1.66,-
11-SEP-2023,DECCAN,Deccan Health Care Ltd,SAUMIK KETAN DOSHI,BUY,103050,41.57,-
11-SEP-2023,HARIAAPL,Haria Apparels Ltd,SUMANCHEPURI,BUY,100782,4.6,-
11-SEP-2023,VASUDHAGAM,Vasudhagama Enterprises Ltd,SYNEMATIC MEDIA AND CONSULTING PRIVATE LIMITED,BUY,100301,11.52,-
11-SEP-2023,KRRAIL,K&R Rail Engineering Ltd,GUPTA JEE TENT SERVICES PRIVATE LIMITED,BUY,100000,765.45,-
11-SEP-2023,TARAPUR,Tarapur Transformers Ltd,SHREE CHEMOPHARMA ANKLESHWAR PRIVATE LIMITED,BUY,100000,4.9,-
11-SEP-2023,ESCORP,Escorp Asset Management Ltd,BLACKBERRY SAREES PRIVATE LIMITED,BUY,93100,63.75,-
11-SEP-2023,MODINATUR,Modi Naturals Ltd,CHAITALI N VORA,SELL,90000,239.0,-
11-SEP-2023,MODINATUR,Modi Naturals Ltd,NIKHIL VORA,BUY,90000,239.0,-
11-SEP-2023,SWADEIN,Swadeshi Industries & Leasing Ltd,AMAN PAL,SELL,90000,1.66,-
11-SEP-2023,SWADEIN,Swadeshi Industries & Leasing Ltd,SANDEEP GIRI,SELL,90000,1.66,-
11-SEP-2023,AGIIL,AGI Infra Ltd,ESCORP ASSET MANAGEMENT LIMITED,BUY,83500,628.0,-
11-SEP-2023,INDONG,Indong Tea Company Ltd,ARUN KUMAR GANERIWALA,BUY,80000,22.47,-
11-SEP-2023,ESCORP,Escorp Asset Management Ltd,VEDANKIT TRADERS PRIVATE LIMITED,BUY,76475,63.75,-
11-SEP-2023,AGRIBIO,Agribio Spirits Ltd,B B COMMERCIAL LTD,SELL,71459,62.5,-
11-SEP-2023,JANUSCORP,Janus Corporation Ltd,YOGESH KUMAR SHARMA,SELL,70000,4.48,-
11-SEP-2023,AGRIBIO,Agribio Spirits Ltd,B B COMMERCIAL LTD,BUY,67959,62.85,-
11-SEP-2023,SCBL,Saptak Chem And Business Ltd,D K C G AND ASSOCIATES,SELL,63822,1.66,-
11-SEP-2023,SWADEIN,Swadeshi Industries & Leasing Ltd,NARESH POONAMCHAND JAIN,BUY,60000,1.66,-
11-SEP-2023,SCBL,Saptak Chem And Business Ltd,ALPESHBHAI RASIKLAL SHAH,BUY,56000,1.66,-
11-SEP-2023,RITESHIN,Ritesh International Ltd,RITESH ARORA,SELL,50000,34.12,-
11-SEP-2023,ACEMEN,Ace Men Engg Works Ltd,APURVABHAI DILIPBHAI SHAH,BUY,46608,55.27,-
11-SEP-2023,NEXOME,Nexome Capital Markets Ltd,DIVYRAJSINH NARENDRASINH SOLANKI,BUY,29587,47.09,-
11-SEP-2023,VASUDHAGAM,Vasudhagama Enterprises Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,28675,10.86,-
11-SEP-2023,NEOINFRA,Neo Infracon Ltd,KAVITA MUKESH KUMAR CHANDAN,BUY,27108,13.5,-
11-SEP-2023,VASUDHAGAM,Vasudhagama Enterprises Ltd,BP EQUITIES PVT. LTD.,SELL,22474,11.39,-
11-SEP-2023,RACONTEUR,Raconteur Global Resources Ltd,GAURAV KUMAR,SELL,19200,18.9,-
11-SEP-2023,DECCAN,Deccan Health Care Ltd,SAUMIK KETAN DOSHI,SELL,18648,40.07,-
11-SEP-2023,ANERI,Aneri Fincap Ltd,MENDESRIRAMULU,BUY,17966,4.41,-
11-SEP-2023,RACONTEUR,Raconteur Global Resources Ltd,AMIT BAJAJ,BUY,16000,18.9,-
11-SEP-2023,BAZELINTER,Bazel International Ltd,VISAGAR FINANCIAL SERVICES LIMITED,BUY,15000,29.56,-
11-SEP-2023,SBLI,SBL Infratech Ltd,NARMADABEN  VAGHELA,BUY,13200,76.25,-
11-SEP-2023,BAZELINTER,Bazel International Ltd,NATVARLAL BHURABHAI PATEL,SELL,11054,29.56,-
11-SEP-2023,SBLI,SBL Infratech Ltd,DIPALIBEN JITESHKUMAR TIKDIA,SELL,10800,76.31,-
11-SEP-2023,SBLI,SBL Infratech Ltd,DIPALIBEN JITESHKUMAR TIKDIA,BUY,10800,72.29,-
11-SEP-2023,SBLI,SBL Infratech Ltd,SANDEEP VINODKUMAR JADAV,SELL,10800,72.29,-
11-SEP-2023,SBLI,SBL Infratech Ltd,RINKUBEN  VAGHELA,BUY,10800,76.22,-
11-SEP-2023,SBLI,SBL Infratech Ltd,HIRAL VAGHELA,SELL,8400,76.2,-
11-SEP-2023,SBLI,SBL Infratech Ltd,SKSE SECURITIES LIMITED CORP CM/TM PROP A/C,SELL,4800,75.48,-
11-SEP-2023,SBLI,SBL Infratech Ltd,ASHISH  PANCHAL,SELL,4800,79.75,-
11-SEP-2023,SBLI,SBL Infratech Ltd,SKSE SECURITIES LIMITED CORP CM/TM PROP A/C,BUY,4800,79.1,-
11-SEP-2023,BAZELINTER,Bazel International Ltd,VISAGAR FINANCIAL SERVICES LIMITED,SELL,150,30.44,-
12-SEP-2023,LTF,L&T Finance Ltd,BC ASIA GROWTH INVESTMENTS,SELL,46216066,130.0,-
12-SEP-2023,LTF,L&T Finance Ltd,BNP PARIBAS ARBITRAGE,BUY,36350000,130.0,-
12-SEP-2023,LTF,L&T Finance Ltd,BC INVESTMENTS VI LIMITED,SELL,23783934,130.0,-
12-SEP-2023,ALTIUSINVIT,ALTIUSINVIT,BIF IV JARVIS INDIA PTE LTD,SELL,15800000,155.0,-
12-SEP-2023,ALTIUSINVIT,ALTIUSINVIT,BCI IRR INDIA HOLDINGS INC,BUY,15400000,155.0,-
12-SEP-2023,VISAGAR,Visagar Financial Services Ltd,SAUMIL ARVINDBHAI BHAVNAGARI,SELL,15000000,0.84,-
12-SEP-2023,GGENG,G G Engineering Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,6000000,1.16,-
12-SEP-2023,VISAGAR,Visagar Financial Services Ltd,AJAY SALVI,SELL,3107589,0.87,-
12-SEP-2023,KCLINFRA,KCL Infra Projects Ltd,JIGNESH AMRUTLAL THOBHANI,SELL,2500000,1.84,-
12-SEP-2023,PRESSURS,Pressure Sensitive Systems India Ltd,KRUPESH GHANSHYAMBHAI THAKKAR,SELL,2400000,7.26,-
12-SEP-2023,7NR,7NR Retail Ltd,UMANG VIJAYKUMAR TRIVEDI,SELL,1750000,0.55,-
12-SEP-2023,MURAE,Murae Organisor Ltd,AMRAPALI CAPITAL AND FINANCE SERVICES LIMITED,SELL,1400000,1.01,-
12-SEP-2023,ADVIKCA,Advik Capital Ltd,G G ENGINEERING LIMITED,BUY,1357800,2.51,-
12-SEP-2023,VISAGAR,Visagar Financial Services Ltd,AJAY SALVI,BUY,1307589,0.84,-
12-SEP-2023,KCLINFRA,KCL Infra Projects Ltd,SAROJ  GUPTA,BUY,1000000,1.85,-
12-SEP-2023,PRESSURS,Pressure Sensitive Systems India Ltd,TUSHAR SHIVAJI JADHAV,BUY,1000000,7.26,-
12-SEP-2023,KRETTOSYS,Kretto Syscon Ltd,JAI VINAYAK SECURITIES,SELL,839946,0.88,-
12-SEP-2023,SYLPH,Sylph Industries Ltd,DEALMONEY SECURITIES PRIVATE LIMITED,BUY,800000,3.5,-
12-SEP-2023,KRETTOSYS,Kretto Syscon Ltd,JAI VINAYAK SECURITIES,BUY,799946,0.86,-
12-SEP-2023,ANSALHSG,Ansal Housing Ltd-$,PRITHVI  FINMART  PRIVATE LIMITED,SELL,523110,7.71,-
12-SEP-2023,ANSALHSG,Ansal Housing Ltd-$,PRITHVI  FINMART  PRIVATE LIMITED,BUY,498825,7.9,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,ARTI SHARMA,SELL,495152,82.34,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,ARTI SHARMA,BUY,495152,71.96,-
12-SEP-2023,COLORCHIPS,Colorchips New Media Ltd,ANKITA VISHAL SHAH,SELL,467372,4.11,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,FOUR S ENTERPRISES,BUY,404781,76.46,-
12-SEP-2023,SRUSTEELS,SRU Steels Ltd,ANANT OVERSEAS PVT. LTD.,SELL,274972,14.03,-
12-SEP-2023,GEE,GEE Ltd,INFOSOFT GLOBAL PRIVATE LIMITED,BUY,225000,86.18,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,RASHI  AGRAWAL,SELL,200000,71.91,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,MANISH KUMAR,SELL,200000,72.0,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,MANISH  KUMAR,BUY,199501,90.12,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,HEMA JAYPRAKASH BHAVSAR,SELL,171500,4.7,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,KAMINI GIRISH MISTRY,SELL,150500,4.69,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,RASHI AGRAWAL,SELL,148608,71.91,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,KAMLESH NAVINCHANDRA SHAH,SELL,115500,4.68,-
12-SEP-2023,HANSUGAR,Shree Hanuman Sugar & Industries Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,110123,7.96,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,ANKURBANSAL,BUY,105000,4.67,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,PARVEEN JAIN,BUY,98000,4.7,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,PANKAJ  GUPTA,BUY,87500,4.63,-
12-SEP-2023,AFEL,A.F. Enterprises Ltd,ANUVA KAUR KEER,SELL,84661,5.71,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,70000,4.66,-
12-SEP-2023,ADISHAKTI,Adishakti Loha and Ispat Ltd,NNM SECURITIES PVT LTD,SELL,70000,12.06,-
12-SEP-2023,ADISHAKTI,Adishakti Loha and Ispat Ltd,NNM SECURITIES PVT LTD,BUY,60000,12.58,-
12-SEP-2023,INDERGR,Indergiri Finance Ltd,JAINAM UDAY SHAH,BUY,56135,38.57,-
12-SEP-2023,GGL,Gautam Gems Ltd,MEENA  WASAN,SELL,53318,12.08,-
12-SEP-2023,JANUSCORP,Janus Corporation Ltd,KAMLESH NAVINCHANDRA SHAH,BUY,52500,4.52,-
12-SEP-2023,HANSUGAR,Shree Hanuman Sugar & Industries Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,51873,7.98,-
12-SEP-2023,INDERGR,Indergiri Finance Ltd,SHAILESH RAJESH AGRAWAL,SELL,50000,38.57,-
12-SEP-2023,SANJIVIN,Sanjivani Paranteral Ltd,SUREKHA HARAN,BUY,50000,100.0,-
12-SEP-2023,ALFATRAN,Alfa Transformers Ltd,BABITA GHANSHYAM SEKSARIA,SELL,50000,60.11,-
12-SEP-2023,AGRIBIO,Agribio Spirits Ltd,SANDHYA DIVYESHBHAI DANGI,SELL,49000,62.41,-
12-SEP-2023,ACEMEN,Ace Men Engg Works Ltd,HARSHABEN PANKAJBHAI GOHEL,BUY,42049,56.13,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,RAMNATHAN BHARAT KADAYAM,BUY,42000,117.64,-
12-SEP-2023,NEXOME,Nexome Capital Markets Ltd,CHAUHAN TRISHUL JITUSINH,BUY,39352,56.1,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,BUY,39000,72.05,-
12-SEP-2023,NEXOME,Nexome Capital Markets Ltd,RAKESH KUMAR JAIN,SELL,38449,57.49,-
12-SEP-2023,RACONTEUR,Raconteur Global Resources Ltd,GAURAV KUMAR,SELL,36800,19.84,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,LATIN MANHARLAL SECURITIES PVT LTD,BUY,36000,71.55,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,AMIT RAJNIKANT SHAH HUF,SELL,36000,117.5,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,GUNASEKARAN KADIRESAN,SELL,33000,72.05,-
12-SEP-2023,RACONTEUR,Raconteur Global Resources Ltd,AMIT BAJAJ,BUY,32000,19.84,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,LATIN MANHARLAL SECURITIES PVT LTD,SELL,27000,73.94,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,STOCK VERTEX VENTURES,SELL,27000,72.05,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,BP EQUITIES PVT. LTD.,SELL,27000,118.51,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,UTSAV PRAMODKUMAR SHRIVASTAV,SELL,24000,117.19,-
12-SEP-2023,CHOKSI,Choksi Asia Ltd,MANISH BHUTRA  MANISH BHUTRA,SELL,21360,44.98,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,21000,118.51,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,BP EQUITIES PVT. LTD.,BUY,18000,118.51,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,MOUNTAIN VENTURES,SELL,15000,69.04,-
12-SEP-2023,SBLI,SBL Infratech Ltd,EKLINGJI TRADELINK PRIVATE LIMITED,SELL,14400,74.45,-
12-SEP-2023,SBLI,SBL Infratech Ltd,HIRAL VAGHELA,BUY,13200,74.68,-
12-SEP-2023,ACCELERATE,Acceleratebs India Ltd,LATIN MANHARLAL SECURITIES PVT LTD,SELL,12800,286.01,-
12-SEP-2023,SANCODE,Sancode Technologies Ltd,UTSAV PRAMODKUMAR SHRIVASTAV,BUY,12000,115.85,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,SHETH BROTHER,SELL,9000,71.8,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,NIKUNJ KAUSHIK SHAH,SELL,9000,72.0,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,SHETH BROTHER,BUY,9000,71.72,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,RIKHAV SECURITIES LIMITED,BUY,9000,70.68,-
12-SEP-2023,SBLI,SBL Infratech Ltd,TARA HARSHADBHAI GOHIL,BUY,4800,74.6,-
12-SEP-2023,GGL,Gautam Gems Ltd,MEENA  WASAN,BUY,4250,11.86,-
12-SEP-2023,WITS,Wherrelz IT Solutions Ltd,VENKATRAMAN,BUY,3200,167.25,-
12-SEP-2023,THINKINK,Thinkink Picturez Ltd,FOUR S ENTERPRISES,SELL,3003,91.01,-
12-SEP-2023,SHOORA,Shoora Designs Ltd,RIKHAV SECURITIES LIMITED,SELL,3000,69.04,-
12-SEP-2023,ACCELERATE,Acceleratebs India Ltd,LATIN MANHARLAL SECURITIES PVT LTD,BUY,1600,285.1,-
12-SEP-2023,SPRIGHT,Spright Agro Ltd,SYKES AND RAY EQUITIES (INDIA) LIMITED,BUY,1385,35.82,-
12-SEP-2023,SPRIGHT,Spright Agro Ltd,SUNIL KUMAR  BARKHANE,SELL,1180,35.82,-
13-SEP-2023,SHREYASI,Shreyas Intermediates Ltd,AEGIS INVESTMENT FUND,BUY,6700000,8.8,-
13-SEP-2023,SHREYASI,Shreyas Intermediates Ltd,KESAR PETROPRODUCTS LIMITED,SELL,6700000,8.8,-
