"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"09-SEP-2024","ADSL","Allied Digital Services L","AAKRAYA RESEARCH LLP","SELL","2,82,256","297.94","-"
"09-SEP-2024","ADSL","Allied Digital Services L","AAKRAYA RESEARCH LLP","BUY","2,82,256","297.73","-"
"09-SEP-2024","ADSL","Allied Digital Services L","HRTI PRIVATE LIMITED","BUY","2,80,508","296.27","-"
"09-SEP-2024","ADSL","Allied Digital Services L","HRTI PRIVATE LIMITED","SELL","3,10,310","294.93","-"
"09-SEP-2024","AHL","Abans Holdings Limited","VT CAPITAL MARKET PVT LTD","BUY","4,63,094","528.27","-"
"09-SEP-2024","AHL","Abans Holdings Limited","VT CAPITAL MARKET PVT LTD","SELL","4,63,230","517.75","-"
"09-SEP-2024","AXITA","Axita Cotton Limited","HRTI PRIVATE LIMITED","BUY","13,18,663","22.59","-"
"09-SEP-2024","AXITA","Axita Cotton Limited","HRTI PRIVATE LIMITED","SELL","15,26,309","22.59","-"
"09-SEP-2024","BOSS","Boss Packaging Solu Ltd","HARISH KUMAR BHATT","BUY","30,000","82.57","-"
"09-SEP-2024","CHAVDA","Chavda Infra Limited","ISHAAN TRADEFIN LLP","SELL","1,57,000","193.85","-"
"09-SEP-2024","CHAVDA","Chavda Infra Limited","ISHAAN TRADEFIN LLP","BUY","1,57,000","195.29","-"
"09-SEP-2024","CMMIPL","CMM Infraprojects Limited","ASHMAVIR FINANCIAL CONSULTANTS PVT LTD","SELL","93,000","2.84","-"
"09-SEP-2024","DCW","DCW Ltd","HRTI PRIVATE LIMITED","SELL","20,71,907","96.18","-"
"09-SEP-2024","DCW","DCW Ltd","HRTI PRIVATE LIMITED","BUY","21,37,554","96.38","-"
"09-SEP-2024","DEEPINDS","Deep Industries Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","3,22,430","453.33","-"
"09-SEP-2024","DEEPINDS","Deep Industries Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","3,22,430","453.58","-"
"09-SEP-2024","DEEPINDS","Deep Industries Limited","HRTI PRIVATE LIMITED","SELL","2,68,586","460.66","-"
"09-SEP-2024","DEEPINDS","Deep Industries Limited","HRTI PRIVATE LIMITED","BUY","3,44,462","460.42","-"
"09-SEP-2024","DHARIWAL","Dhariwalcorp Limited","BAHETI PANKAJ HUF","BUY","45,600","142.00","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","ADROIT FINANCIAL SERVICES PVT LTD","SELL","3,77,057","451.98","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","ADROIT FINANCIAL SERVICES PVT LTD","BUY","3,77,057","450.58","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","GRAVITON RESEARCH CAPITAL LLP","SELL","5,89,827","454.14","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","GRAVITON RESEARCH CAPITAL LLP","BUY","5,89,827","454.47","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","PLUTUS WEALTH MANAGEMENT LLP","BUY","4,00,000","460.26","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","PRRSAAR COMMODITIES PVT LTD","BUY","4,70,289","451.91","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","PRRSAAR COMMODITIES PVT LTD","SELL","4,70,289","451.98","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","QE SECURITIES LLP","BUY","3,53,055","455.84","-"
"09-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","QE SECURITIES LLP","SELL","3,75,086","457.54","-"
"09-SEP-2024","ELECTCAST","Electrosteel Cast Ltd.","INDIA OPPORTUNITIES GROWTH FUND LTD - PINEWOOD STRATEGY","SELL","1,05,00,000","209.03","-"
"09-SEP-2024","EPACK","EPACK Durable Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","7,29,070","281.31","-"
"09-SEP-2024","EPACK","EPACK Durable Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","7,29,070","281.18","-"
"09-SEP-2024","GATECH","GACM Technologies Limited","MAHAMMADFARUK HAJIBHAI MIR","BUY","7,40,922","1.47","-"
"09-SEP-2024","GATECH","GACM Technologies Limited","MAHAMMADFARUK HAJIBHAI MIR","SELL","49,78,258","1.47","-"
"09-SEP-2024","GICHSGFIN","Gic Housing Finance Ltd","RAVISHANKAR ANUPKUMAR LOHIA","SELL","3,00,000","218.45","-"
"09-SEP-2024","GULFPETRO","GP Petroleums Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","3,09,178","86.04","-"
