"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"08-SEP-2025","BHARTIARTL","Bharti Airtel Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","6,34,534","1,895.30",
"08-SEP-2025","BHARTIARTL","Bharti Airtel Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","6,34,534","1,895.30",
"08-SEP-2025","ETERNAL","ETERNAL LIMITED","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","87,18,482","329.15",
"08-SEP-2025","ETERNAL","ETERNAL LIMITED","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","87,18,482","329.15",
"08-SEP-2025","HEROMOTOCO","Hero MotoCorp Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","83,549","5,363.00",
"08-SEP-2025","HEROMOTOCO","Hero MotoCorp Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","83,549","5,363.00",
"08-SEP-2025","INDIGO","InterGlobe Aviation Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","1,04,028","5,670.00",
"08-SEP-2025","INDIGO","InterGlobe Aviation Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","1,04,028","5,670.00",
"08-SEP-2025","RELIANCE","Reliance Industries Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","5,17,192","1,375.00",
"08-SEP-2025","RELIANCE","Reliance Industries Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","5,17,192","1,375.00",
"08-SEP-2025","VBL","Varun Beverages Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","14,71,154","469.65",
"08-SEP-2025","VBL","Varun Beverages Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","14,71,154","469.65",
"09-SEP-2025","APOLLOHOSP","Apollo Hospitals Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","43,031","7,786.50",
"09-SEP-2025","APOLLOHOSP","Apollo Hospitals Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","43,031","7,786.50",
