"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"19-SEP-2022","BSE","BSE Limited","ISHARES CORE EMERGING MARKETS MAURITIUS CO","SELL","1,53,487","662.90",
"19-SEP-2022","BSE","BSE Limited","ISHARES CORE MSCI EMERGING MARKETS ETF","BUY","1,53,487","662.90",
"19-SEP-2022","BSE","BSE Limited","ISHARES INDIA SC MAURITIUS COMPANY","SELL","20,569","662.90",
"19-SEP-2022","BSE","BSE Limited","ISHARES MSCI INDIA SMALL-CAP ETF","BUY","20,569","662.90",
"19-SEP-2022","CDSL","Central Depo Ser (I) Ltd","ISHARES CORE EMERGING MARKETS MAURITIUS CO","SELL","94,240","1,334.15",
"19-SEP-2022","CDSL","Central Depo Ser (I) Ltd","ISHARES CORE MSCI EMERGING MARKETS ETF","BUY","94,240","1,334.15",
"19-SEP-2022","CDSL","Central Depo Ser (I) Ltd","ISHARES INDIA SC MAURITIUS COMPANY","SELL","11,802","1,334.15",
"19-SEP-2022","CDSL","Central Depo Ser (I) Ltd","ISHARES MSCI INDIA SMALL-CAP ETF","BUY","11,802","1,334.15",
"19-SEP-2022","WESTLIFE","Westlife Development Ltd","ISHARES CORE EMERGING MARKETS MAURITIUS CO","SELL","1,74,256","714.50",
"19-SEP-2022","WESTLIFE","Westlife Development Ltd","ISHARES CORE MSCI EMERGING MARKETS ETF","BUY","1,74,256","714.50",
"19-SEP-2022","WESTLIFE","Westlife Development Ltd","ISHARES INDIA SC MAURITIUS COMPANY","SELL","32,416","714.50",
"19-SEP-2022","WESTLIFE","Westlife Development Ltd","ISHARES MSCI INDIA SMALL-CAP ETF","BUY","32,416","714.50",
"21-SEP-2022","DODLA","Dodla Dairy Limited","BHARAT BIO TECH INTERNAT IONAL LTD","BUY","20,26,434","525.00",
"21-SEP-2022","DODLA","Dodla Dairy Limited","SUNIL REDDY DODLA","SELL","1,95,000","525.00",
"21-SEP-2022","DODLA","Dodla Dairy Limited","TPG DODLA DAIRY HOLDINGS PTE. LTD","SELL","18,31,434","525.00",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","ABU DHABI INVESTMENT AUTHORITY","BUY","40,58,227","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","21,56,546","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","3,59,424","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","7,18,849","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","16,17,409","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","EMPLOYEES PROVIDENT FUND MANAGEDBY NOMURA ASSET MANAGEMENT","BUY","10,47,502","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","GOVERNMENT OF SINGAPORE","BUY","41,98,226","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","INVESCO MUTUAL FUND","BUY","7,90,818","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","INVESCO MUTUAL FUND","BUY","7,99,585","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","INVESCO MUTUAL FUND","BUY","1,75,205","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","INVESCO MUTUAL FUND","BUY","11,01,617","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","MONETARY AUTHORITY OF SINGAPORE","BUY","8,74,557","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","NOMURA FUNDS IRELAND PUBLIC LIMITED COMPANY - NOMURA FUNDS IRELAND - INDIA EQUITY","BUY","13,70,483","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","NOMURA INDIA INVESTMENT FUND MOTHER FUND - THE MTBJ AC NOMURA INDIA INVES FD","BUY","9,99,338","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","PLUTUS WEALTH MANAGEMENT LLP","BUY","20,38,058","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","RATI SAWHNEY","BUY","3,23,30,548","229.00",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SBI MUTUAL FUND","BUY","75,45,788","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SBI MUTUAL FUND","BUY","11,00,000","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SBI MUTUAL FUND","BUY","3,97,000","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SUNDARAM MUTUAL FUND","BUY","6,61,667","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SUNDARAM MUTUAL FUND","BUY","10,58,667","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SUNDARAM MUTUAL FUND","BUY","14,99,779","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SUNDARAM MUTUAL FUND","BUY","2,20,555","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","SUNDARAM MUTUAL FUND","BUY","3,08,781","226.70",
"21-SEP-2022","TRITURBINE","Triveni Turbine Limited","THE NOMURA TRUST AND BANKING CO. LTD AS THE TRUSTEE OF NOMURA INDIAN STOCK MOTHER FUND","BUY","31,99,351","226.70",
